name,nameWithOwner,url,stars,createdAt,updatedAt,language,releases,mergedPRs,issues_total,issues_closed,issues_closed_ratio
shadowsocks-windows,shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows,59262,2013-01-14T07:54:16Z,2026-03-04T20:20:10Z,C#,55,290,2915,2727,0.9355060034305317
llama,meta-llama/llama,https://github.com/meta-llama/llama,59191,2023-02-14T09:29:12Z,2026-03-04T18:19:40Z,Python,0,54,1112,652,0.5863309352517986
awesome-flutter,Solido/awesome-flutter,https://github.com/Solido/awesome-flutter,59167,2017-05-07T11:45:27Z,2026-03-04T22:34:30Z,Dart,0,448,0,0,0
Magisk,topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,59060,2016-09-08T12:42:53Z,2026-03-04T21:04:25Z,Rust,156,1688,6492,6453,0.993992606284658
30-Days-Of-Python,Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,59008,2019-11-19T17:24:16Z,2026-03-04T22:26:13Z,Python,0,137,142,84,0.5915492957746479
angular.js,angular/angular.js,https://github.com/angular/angular.js,58924,2010-01-06T00:34:37Z,2026-03-04T22:58:01Z,JavaScript,0,790,9033,8644,0.9569356802834053
cline,cline/cline,https://github.com/cline/cline,58632,2024-07-06T07:28:10Z,2026-03-04T23:00:42Z,TypeScript,239,3242,3412,2912,0.8534583821805393
awesome-chatgpt-prompts-zh,PlexPt/awesome-chatgpt-prompts-zh,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,58523,2022-12-12T01:55:03Z,2026-03-04T18:50:40Z,,0,33,97,59,0.6082474226804123
rails,rails/rails,https://github.com/rails/rails,58338,2008-04-11T02:19:47Z,2026-03-04T17:00:21Z,Ruby,160,25882,18481,17972,0.9724582003138358
mkcert,FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,58241,2018-06-25T05:33:03Z,2026-03-04T21:48:20Z,Go,14,52,350,241,0.6885714285714286
FFmpeg,FFmpeg/FFmpeg,https://github.com/FFmpeg/FFmpeg,57579,2011-04-14T14:12:38Z,2026-03-04T22:31:40Z,C,0,0,0,0,0
bat,sharkdp/bat,https://github.com/sharkdp/bat,57502,2018-04-21T10:52:23Z,2026-03-04T20:00:57Z,Rust,43,1576,1580,1265,0.8006329113924051
memos,usememos/memos,https://github.com/usememos/memos,57469,2021-12-08T15:30:18Z,2026-03-04T22:28:23Z,Go,86,1911,2824,2810,0.9950424929178471
html5-boilerplate,h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate,57395,2010-01-24T18:03:24Z,2026-03-04T22:03:24Z,JavaScript,34,804,1358,1353,0.9963181148748159
fuel-core,FuelLabs/fuel-core,https://github.com/FuelLabs/fuel-core,57343,2020-08-27T21:12:14Z,2026-03-04T21:18:39Z,Rust,124,1615,1154,996,0.8630849220103987
astro,withastro/astro,https://github.com/withastro/astro,57264,2021-03-15T17:19:47Z,2026-03-04T23:01:54Z,TypeScript,1000,8230,5972,5782,0.9681848626925653
zustand,pmndrs/zustand,https://github.com/pmndrs/zustand,57240,2019-04-09T09:10:06Z,2026-03-04T22:59:57Z,TypeScript,101,888,693,691,0.9971139971139971
DeepLearning-500-questions,scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,57177,2018-06-27T06:36:45Z,2026-03-04T10:50:50Z,JavaScript,0,302,192,81,0.421875
private-gpt,zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt,57144,2023-05-02T09:15:31Z,2026-03-04T23:05:14Z,Python,10,226,1227,965,0.7864710676446618
yolov5,ultralytics/yolov5,https://github.com/ultralytics/yolov5,56926,2020-05-18T03:45:11Z,2026-03-04T17:21:46Z,Python,10,2239,9440,9400,0.9957627118644068
you-get,soimort/you-get,https://github.com/soimort/you-get,56762,2012-08-20T15:53:36Z,2026-03-04T19:31:13Z,Python,123,582,0,0,0
pocketbase,pocketbase/pocketbase,https://github.com/pocketbase/pocketbase,56545,2022-07-05T06:06:21Z,2026-03-04T22:52:21Z,Go,244,55,1952,1928,0.9877049180327869
vaultwarden,dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden,56295,2018-02-17T22:40:20Z,2026-03-04T22:46:21Z,Rust,78,1080,2562,2552,0.9960967993754879
react-router,remix-run/react-router,https://github.com/remix-run/react-router,56280,2014-05-16T22:22:51Z,2026-03-04T21:57:35Z,TypeScript,326,3414,8311,8197,0.9862832390807363
llm-app,pathwaycom/llm-app,https://github.com/pathwaycom/llm-app,56220,2023-07-19T08:43:37Z,2026-03-04T19:40:23Z,Jupyter Notebook,0,49,18,13,0.7222222222222222
meilisearch,meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,56183,2018-04-23T11:45:28Z,2026-03-04T19:36:03Z,Rust,299,2333,2392,2166,0.9055183946488294
face_recognition,ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,56176,2017-03-03T21:52:39Z,2026-03-04T19:24:00Z,Python,2,94,1378,598,0.4339622641509434
awesome-rust,rust-unofficial/awesome-rust,https://github.com/rust-unofficial/awesome-rust,55972,2014-07-17T10:45:10Z,2026-03-04T22:34:37Z,Rust,0,1693,143,133,0.9300699300699301
pi-hole,pi-hole/pi-hole,https://github.com/pi-hole/pi-hole,55966,2014-06-08T15:02:55Z,2026-03-04T22:55:22Z,Shell,123,2171,3126,3095,0.9900831733845169
gatsby,gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,55949,2015-05-21T22:43:05Z,2026-03-04T22:04:35Z,JavaScript,158,18249,14130,13914,0.9847133757961783
rclone,rclone/rclone,https://github.com/rclone/rclone,55851,2014-03-16T16:19:57Z,2026-03-04T22:43:47Z,Go,121,2305,5965,5034,0.8439228834870075
leetcode,azl397985856/leetcode,https://github.com/azl397985856/leetcode,55821,2018-03-30T09:13:51Z,2026-03-04T17:32:38Z,JavaScript,40,257,256,248,0.96875
rich,Textualize/rich,https://github.com/Textualize/rich,55679,2019-11-10T15:28:09Z,2026-03-04T22:36:30Z,Python,175,860,1480,1264,0.8540540540540541
awesome-android-ui,wasabeef/awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,55560,2014-12-24T01:45:03Z,2026-03-04T22:34:41Z,,0,90,115,94,0.8173913043478261
project-layout,golang-standards/project-layout,https://github.com/golang-standards/project-layout,55491,2017-09-09T16:33:26Z,2026-03-04T21:34:34Z,Makefile,0,94,115,44,0.3826086956521739
GPT-SoVITS,RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,55484,2024-01-14T18:05:21Z,2026-03-04T18:40:37Z,Python,4,355,2008,1232,0.6135458167330677
github-cheat-sheet,tiimgreen/github-cheat-sheet,https://github.com/tiimgreen/github-cheat-sheet,55483,2014-04-12T16:38:42Z,2026-03-04T23:03:44Z,,0,129,75,49,0.6533333333333333
anything-llm,Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,55480,2023-06-04T02:29:14Z,2026-03-04T23:08:14Z,JavaScript,25,1294,3215,2940,0.9144634525660964
MinerU,opendatalab/MinerU,https://github.com/opendatalab/MinerU,55461,2024-02-29T08:52:34Z,2026-03-04T22:29:57Z,Python,143,1317,2092,1903,0.9096558317399618
gpt-engineer,AntonOsika/gpt-engineer,https://github.com/AntonOsika/gpt-engineer,55210,2023-04-29T12:52:15Z,2026-03-04T08:35:23Z,Python,21,351,501,470,0.93812375249501
autogen,microsoft/autogen,https://github.com/microsoft/autogen,55161,2023-08-18T11:43:45Z,2026-03-04T22:36:22Z,Python,98,2534,2939,2494,0.8485879550867642
hackingtool,Z4nzu/hackingtool,https://github.com/Z4nzu/hackingtool,55158,2020-04-11T09:21:31Z,2026-03-04T22:45:07Z,Python,0,57,392,322,0.8214285714285714
appwrite,appwrite/appwrite,https://github.com/appwrite/appwrite,55014,2019-04-08T16:36:25Z,2026-03-04T23:07:03Z,TypeScript,120,4441,4297,3753,0.8734000465441005
faceswap,deepfakes/faceswap,https://github.com/deepfakes/faceswap,55008,2017-12-19T09:44:13Z,2026-03-04T18:52:43Z,Python,5,363,898,896,0.9977728285077951
OpenManus,FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,54976,2025-03-06T14:08:14Z,2026-03-04T22:46:32Z,Python,3,115,741,388,0.5236167341430499
docling,docling-project/docling,https://github.com/docling-project/docling,54859,2024-07-09T07:50:26Z,2026-03-04T23:06:34Z,Python,155,737,1629,817,0.5015346838551259
starship,starship/starship,https://github.com/starship/starship,54529,2019-04-02T03:23:12Z,2026-03-04T19:36:51Z,Rust,138,3060,2629,1853,0.7048307341194371
ChatGPT,lencx/ChatGPT,https://github.com/lencx/ChatGPT,54375,2022-12-07T09:43:02Z,2026-03-04T21:41:09Z,Rust,34,123,1253,368,0.2936951316839585
element,ElemeFE/element,https://github.com/ElemeFE/element,54208,2016-09-03T06:19:26Z,2026-03-04T22:50:05Z,Vue,145,3231,17894,15249,0.8521850899742931
marktext,marktext/marktext,https://github.com/marktext/marktext,54186,2017-11-12T16:05:25Z,2026-03-04T22:43:45Z,JavaScript,36,944,3001,1654,0.5511496167944019
nanoGPT,karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,54141,2022-12-28T00:51:12Z,2026-03-04T23:08:14Z,Python,0,45,353,114,0.32294617563739375
gitea,go-gitea/gitea,https://github.com/go-gitea/gitea,54071,2016-11-01T02:13:26Z,2026-03-04T21:37:44Z,Go,224,18514,15436,12818,0.8303964757709251
maybe,maybe-finance/maybe,https://github.com/maybe-finance/maybe,54048,2024-01-01T22:23:46Z,2026-03-04T18:14:45Z,Ruby,28,1073,0,0,0
ultralytics,ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,53912,2022-09-11T16:39:45Z,2026-03-04T23:01:55Z,Python,347,4232,12485,12343,0.9886263516219463
requests,psf/requests,https://github.com/psf/requests,53854,2011-02-13T18:38:17Z,2026-03-04T23:08:38Z,Python,14,1618,4127,3941,0.9549309425732978
normalize.css,necolas/normalize.css,https://github.com/necolas/normalize.css,53755,2011-05-04T10:20:25Z,2026-03-04T03:51:44Z,CSS,0,56,517,470,0.9090909090909091
joplin,laurent22/joplin,https://github.com/laurent22/joplin,53725,2017-01-16T21:49:41Z,2026-03-04T22:28:14Z,TypeScript,400,5219,7758,7171,0.9243361691157514
segment-anything,facebookresearch/segment-anything,https://github.com/facebookresearch/segment-anything,53563,2023-03-23T17:03:03Z,2026-03-04T19:29:15Z,Jupyter Notebook,0,16,717,182,0.25383542538354253
dive,wagoodman/dive,https://github.com/wagoodman/dive,53480,2018-05-13T15:44:01Z,2026-03-04T22:08:22Z,Go,28,164,373,205,0.5495978552278821
unsloth,unslothai/unsloth,https://github.com/unslothai/unsloth,53261,2023-11-29T16:50:09Z,2026-03-04T23:00:27Z,Python,23,775,2973,2112,0.7103935418768921
powerlevel10k,romkatv/powerlevel10k,https://github.com/romkatv/powerlevel10k,53193,2019-02-24T19:09:45Z,2026-03-04T22:53:12Z,Shell,33,168,2603,2488,0.9558202074529389
core,vuejs/core,https://github.com/vuejs/core,53133,2018-06-12T13:49:36Z,2026-03-04T21:21:44Z,TypeScript,268,3632,5954,5303,0.8906617400067182
trackerslist,ngosang/trackerslist,https://github.com/ngosang/trackerslist,53091,2016-04-24T11:57:57Z,2026-03-04T22:24:54Z,,0,1,509,501,0.9842829076620825
material-design-icons,google/material-design-icons,https://github.com/google/material-design-icons,52934,2014-10-08T18:01:28Z,2026-03-04T14:46:25Z,,16,50,1563,1177,0.7530390275111964
pdf.js,mozilla/pdf.js,https://github.com/mozilla/pdf.js,52921,2011-04-26T06:32:03Z,2026-03-04T23:06:07Z,JavaScript,83,8458,10418,9989,0.9588212708773277
ai-agents-for-beginners,microsoft/ai-agents-for-beginners,https://github.com/microsoft/ai-agents-for-beginners,52906,2024-11-28T10:42:52Z,2026-03-04T22:33:51Z,Jupyter Notebook,0,317,86,86,1.0
first-contributions,firstcontributions/first-contributions,https://github.com/firstcontributions/first-contributions,52833,2016-09-20T14:35:09Z,2026-03-04T21:39:18Z,,0,94614,1365,1328,0.9728937728937729
ImHex,WerWolv/ImHex,https://github.com/WerWolv/ImHex,52772,2020-11-10T14:27:00Z,2026-03-04T18:53:28Z,C++,82,725,1556,1252,0.8046272493573264
n8n-workflows,Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,52495,2025-05-14T08:43:59Z,2026-03-04T23:02:59Z,Python,1,34,98,80,0.8163265306122449
kotlin,JetBrains/kotlin,https://github.com/JetBrains/kotlin,52414,2012-02-13T17:29:58Z,2026-03-04T23:06:48Z,Kotlin,284,2134,0,0,0
